scenario,repeat_seed,model,n_train,n_test,split_stratification_mode,accuracy,precision,recall,f1,roc_auc,pr_auc
scenario5_h3d_agree_ct_only,102,Gradient Boosting,122,28,target_plus_cohort,0.6428571428571429,0.6,0.2727272727272727,0.375,0.7433155080213905,0.6107937470166571
scenario5_h3d_agree_ct_only,102,SVM (RBF),122,28,target_plus_cohort,0.5714285714285714,0.4444444444444444,0.36363636363636365,0.4,0.7112299465240641,0.6083266480993754
scenario5_h3d_agree_ct_only,103,Logistic Regression,119,31,target_plus_cohort,0.7096774193548387,0.7777777777777778,0.5,0.6086956521739131,0.7773109243697479,0.7812929277991388
scenario5_h3d_agree_ct_only,103,Random Forest,119,31,target_plus_cohort,0.7096774193548387,0.7777777777777778,0.5,0.6086956521739131,0.8361344537815126,0.797933726039316
scenario5_h3d_agree_ct_only,103,Gradient Boosting,119,31,target_plus_cohort,0.7096774193548387,0.7272727272727273,0.5714285714285714,0.64,0.8571428571428572,0.8254769040483325
scenario5_h3d_agree_ct_only,103,SVM (RBF),119,31,target_plus_cohort,0.6129032258064516,0.6666666666666666,0.2857142857142857,0.4,0.773109243697479,0.721049705307224
scenario5_h3d_agree_ct_only,104,Logistic Regression,120,30,target_plus_cohort,0.7,0.6153846153846154,0.6666666666666666,0.64,0.7546296296296297,0.7320241892610314
scenario5_h3d_agree_ct_only,104,Random Forest,120,30,target_plus_cohort,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7916666666666666,0.6942888331475289
scenario5_h3d_agree_ct_only,104,Gradient Boosting,120,30,target_plus_cohort,0.7666666666666667,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.7546296296296297,0.6616515429015429
scenario5_h3d_agree_ct_only,104,SVM (RBF),120,30,target_plus_cohort,0.8,0.8,0.6666666666666666,0.7272727272727273,0.7222222222222221,0.7215313621563622
scenario5_h3d_agree_ct_only,105,Logistic Regression,122,28,target_plus_cohort,0.5357142857142857,0.46153846153846156,0.5,0.48,0.6822916666666666,0.7052744708994709
scenario5_h3d_agree_ct_only,105,Random Forest,122,28,target_plus_cohort,0.5357142857142857,0.4666666666666667,0.5833333333333334,0.5185185185185185,0.6666666666666666,0.671577723532058
scenario5_h3d_agree_ct_only,105,Gradient Boosting,122,28,target_plus_cohort,0.5714285714285714,0.5,0.75,0.6,0.6458333333333333,0.6543284627166207
scenario5_h3d_agree_ct_only,105,SVM (RBF),122,28,target_plus_cohort,0.5357142857142857,0.46153846153846156,0.5,0.48,0.5885416666666666,0.5807478645272258
scenario5_h3d_agree_ct_only,106,Logistic Regression,122,28,target_plus_cohort,0.7857142857142857,1.0,0.5,0.6666666666666666,0.9270833333333334,0.9368908382066278
scenario5_h3d_agree_ct_only,106,Random Forest,122,28,target_plus_cohort,0.7857142857142857,0.875,0.5833333333333334,0.7,0.9375,0.9206390831390833
scenario5_h3d_agree_ct_only,106,Gradient Boosting,122,28,target_plus_cohort,0.8214285714285714,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.9166666666666667,0.9140376984126984
scenario5_h3d_agree_ct_only,106,SVM (RBF),122,28,target_plus_cohort,0.75,0.7777777777777778,0.5833333333333334,0.6666666666666666,0.875,0.8476868651501005
scenario5_h3d_agree_ct_only,107,Logistic Regression,119,31,target_plus_cohort,0.7741935483870968,0.875,0.5384615384615384,0.6666666666666666,0.8632478632478632,0.8492627541540583
scenario5_h3d_agree_ct_only,107,Random Forest,119,31,target_plus_cohort,0.6774193548387096,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.7991452991452992,0.7486437094560663
scenario5_h3d_agree_ct_only,107,Gradient Boosting,119,31,target_plus_cohort,0.7419354838709677,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.7264957264957266,0.6397829678194051
scenario5_h3d_agree_ct_only,107,SVM (RBF),119,31,target_plus_cohort,0.7419354838709677,0.8571428571428571,0.46153846153846156,0.6,0.8461538461538461,0.8387509620246192
scenario5_h3d_agree_ct_only,108,Logistic Regression,118,32,target_plus_cohort,0.75,0.6428571428571429,0.75,0.6923076923076923,0.8666666666666667,0.8517223187266262
scenario5_h3d_agree_ct_only,108,Random Forest,118,32,target_plus_cohort,0.78125,0.6923076923076923,0.75,0.72,0.8625,0.8545514409101366
scenario5_h3d_agree_ct_only,108,Gradient Boosting,118,32,target_plus_cohort,0.71875,0.6,0.75,0.6666666666666666,0.7708333333333334,0.794241470534574
scenario5_h3d_agree_ct_only,108,SVM (RBF),118,32,target_plus_cohort,0.71875,0.6,0.75,0.6666666666666666,0.7541666666666667,0.7600888912483116
